"filename", "language", "Python", "Properties", "MS SQL", "pip requirements", "Batch", "PowerShell", "CSS", "JavaScript", "HTML", "SCSS", "XML", "Markdown", "reStructuredText", "YAML", "JSON", "Ruby", "TypeScript", "Less", "comment", "blank", "total"
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.extra-components.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.pages.css", "CSS", 0, 0, 0, 0, 0, 0, 360, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 77, 445
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.pages.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.plugins.css", "CSS", 0, 0, 0, 0, 0, 0, 5144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 1301, 6461
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\css\alt\adminlte.plugins.min.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js\adminlte.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1354, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 223, 310, 1887
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js\adminlte.min.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 7
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js\demo.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 379, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42, 427
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js\pages\dashboard.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 217, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 23, 265
"c:\Users\gsam9\Desktop\projects\GoTrip\backend\.venv\Lib\site-packages\adminlte3\static\admin-lte\dist\js\pages\dashboard2.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 161, 14, 268
